"subj_code","condition","desktop_conf","attent_conf","intro_check","structure","first_object","learn_check_red","learn_check_yellow","red_caused_rating","yellow_caused_rating","red_maintained_rating","yellow_maintained_rating","timing_check","recorded_at","age","gender","tech_issues","timing_check_correct","learning_check_correct"
"0tJmSDv60Zga",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,0,7,7,"The red ram moved first.","2023-10-30 08:52:01",29,"2: female",NA,"correct","correct"
"3MkmHAA35kA8",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,10,5,0,"The red ram moved first.","2023-10-30 10:17:59",57,"1: male",NA,"correct","correct"
"cLNfIqUFzv5r",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,0,0,0,"The red ram moved first.","2023-10-30 09:38:20",22,"2: female",NA,"correct","correct"
"dVrxqVSPAf2v",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,0,5,5,"The red ram moved first.","2023-10-30 10:18:00",38,"1: male",NA,"correct","correct"
"EbziczWTX95M",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",9,0,8,1,"The red ram moved first.","2023-10-30 10:18:43",53,"2: female",NA,"correct","correct"
"gcesUqwg9IOk",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,0,10,10,"The red ram moved first.","2023-10-30 10:19:45",34,"2: female","none ","correct","correct"
"h2sFwxBnvl4s",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",9,5,7,3,"The red ram moved first.","2023-10-30 08:49:47",43,"1: male","None","correct","correct"
"jiay2LVsJr5R",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,0,6,6,"The red ram moved first.","2023-10-30 10:17:55",43,"2: female","None","correct","correct"
"yRpLWCmqA0u4",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,5,0,10,"The red ram moved first.","2023-10-30 09:37:51",27,"1: male",NA,"correct","correct"
"znYG3auS59Hj",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,0,0,0,"The red ram moved first.","2023-10-30 09:38:34",22,"1: male","None","correct","correct"
"6J3H9f440BGV",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",0,10,0,10,"The yellow ram moved first.","2023-10-30 10:24:20",33,"2: female","none","correct","correct"
"dDZNzjA2hz9Q",2,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","yellow","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",5,10,7,7,"The yellow ram moved first.","2023-10-30 10:27:53",34,"1: male","Tried on a mac first and the initial video didnt play however worked ok on my windows laptop","correct","correct"
