"subj_code","condition","desktop_conf","attent_conf","intro_check","structure","first_object","learn_check_red","learn_check_yellow","red_caused_rating","yellow_caused_rating","red_maintained_rating","yellow_maintained_rating","timing_check","recorded_at","age","gender","tech_issues","timing_check_correct","learning_check_correct"
"0mJtEUCvvRaG",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,0,0,0,"The red ram moved first.","2023-10-30 11:10:20",24,"1: male",NA,"correct","correct"
"2KFK6OmfPfOH",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,0,10,10,"The red ram moved first.","2023-10-30 11:47:19",54,"1: male","None. Entire project and its presentation was seemlessly perfect. Bravo.","correct","correct"
"7FX3tmHHtJAs",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,4,9,4,"The red ram moved first.","2023-10-30 11:10:38",49,"2: female",NA,"correct","correct"
"BgY1jjR6yQWS",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,0,10,0,"The red ram moved first.","2023-10-30 11:11:45",24,"2: female",NA,"correct","correct"
"BwaMgOPHG5nL",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,0,1,1,"The red ram moved first.","2023-10-30 11:10:46",49,"2: female","I didn't notice any errors.","correct","correct"
"Cg4SFSuT37VC",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",5,3,5,4,"The red ram moved first.","2023-10-30 11:20:46",54,"2: female","ok","correct","correct"
"CgxZAphI7gwY",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,0,0,0,"The red ram moved first.","2023-10-30 11:47:24",53,"1: male",NA,"correct","correct"
"eTnSriylE7RP",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,0,8,0,"The red ram moved first.","2023-10-30 11:47:34",33,"1: male",NA,"correct","correct"
"gDTJmkWjmyLa",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,0,10,0,"The red ram moved first.","2023-10-30 11:47:15",35,"1: male",NA,"correct","correct"
"jlQmfCStdKNV",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,0,10,0,"The red ram moved first.","2023-10-30 12:08:59",51,"1: male",NA,"correct","correct"
"kBxzqNRHGwnD",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,0,10,0,"The red ram moved first.","2023-10-30 11:09:53",24,"1: male",NA,"correct","correct"
"KZCT4n7f0dfe",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,0,6,6,"The red ram moved first.","2023-10-30 11:10:34",55,"2: female","no errors","correct","correct"
"LqsTjxDsick2",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,1,10,1,"The red ram moved first.","2023-10-30 11:47:21",37,"1: male",NA,"correct","correct"
"LWz30caQHu36",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,0,5,7,"The red ram moved first.","2023-10-30 11:10:26",46,"1: male",NA,"correct","correct"
"M1vp6hPQxcI2",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,0,9,9,"The red ram moved first.","2023-10-30 11:10:23",31,"1: male",NA,"correct","correct"
"mr5pBKd899kM",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","1: When the red ram returned to its initial position, the wooden block remained in the blue area.","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,0,10,0,"The red ram moved first.","2023-10-30 12:08:52",37,"2: female",NA,"correct","correct"
"PlGD0slNClWl",1,"1: I confirm","1: I will take it seriously","2: A green ball lies on a brown wooden board. Then a yellow ball falls down onto the wooden board. The green ball then shoots into the air.","irreversible","red","2: When the red ram returned to its initial position, the wooden block also went back (left the blue area again).","1: When the yellow ram returned to its initial position, the wooden block remained in the blue area.",10,0,2,0,"The red ram moved first.","2023-10-30 11:10:27",66,"1: male",NA,"correct","correct"
